DatasetType,Eta,Sigma,N,GridSize,QuantificationError,SelfOrganizationError
uniform,0.0,1.4,100000,"(10, 10)",0.38606251184044255,0.9175
uniform,0.01,1.4,100000,"(10, 10)",0.018859054571402165,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.019543386019184195,0.0
uniform,0.1,1.4,100000,"(10, 10)",0.026167957906437937,0.014166666666666666
uniform,0.5,1.4,100000,"(10, 10)",0.020372168938383835,0.0016666666666666668
uniform,1.0,1.4,100000,"(10, 10)",0.024523183929722022,0.03916666666666667
uniform,0.05,0.1,100000,"(10, 10)",0.009845181716992304,0.965
uniform,0.05,0.4,100000,"(10, 10)",0.008019439621410267,0.5116666666666667
uniform,0.05,1.4,100000,"(10, 10)",0.017176279876010225,0.0
uniform,0.05,2.0,100000,"(10, 10)",0.0348909977269027,0.0
uniform,0.05,4.0,100000,"(10, 10)",0.14408435301100397,0.0
uniform,0.05,1.4,1000,"(10, 10)",0.035390407662405025,0.1075
uniform,0.05,1.4,5000,"(10, 10)",0.026045436969840456,0.021666666666666667
uniform,0.05,1.4,10000,"(10, 10)",0.02009092798340355,0.0
uniform,0.05,1.4,30000,"(10, 10)",0.018948165334697457,0.0
uniform,0.05,1.4,50000,"(10, 10)",0.027136765006106518,0.025833333333333333
uniform,0.05,1.4,100000,"(10, 10)",0.018362625742911247,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.02836081844335099,0.016666666666666666
uniform,0.05,1.4,100000,"(20, 5)",0.021753054608251974,0.03916666666666667
uniform,0.05,1.4,100000,"(5, 20)",0.022748603471502617,0.03
uniform,0.05,1.4,100000,"(30, 1)",0.04709801394003077,0.02666666666666667
clustered,0.0,1.4,100000,"(10, 10)",0.0034539382519124594,0.9725
clustered,0.01,1.4,100000,"(10, 10)",0.003841994590715806,0.1175
clustered,0.05,1.4,100000,"(10, 10)",0.003625043884620582,0.04416666666666667
clustered,0.1,1.4,100000,"(10, 10)",0.0028932448005983785,0.009166666666666667
clustered,0.5,1.4,100000,"(10, 10)",0.003674903453836108,0.034166666666666665
clustered,1.0,1.4,100000,"(10, 10)",0.004504975142135803,0.1325
clustered,0.05,0.1,100000,"(10, 10)",0.001245743687256803,0.9633333333333334
clustered,0.05,0.4,100000,"(10, 10)",0.001074953699756054,0.5508333333333333
clustered,0.05,1.4,100000,"(10, 10)",0.003432054187275765,0.004166666666666667
clustered,0.05,2.0,100000,"(10, 10)",0.007316543975020349,0.0
clustered,0.05,4.0,100000,"(10, 10)",0.02402759656234853,0.005833333333333334
clustered,0.05,1.4,1000,"(10, 10)",0.003957313284002312,0.11333333333333333
clustered,0.05,1.4,5000,"(10, 10)",0.0036790703840040868,0.07666666666666666
clustered,0.05,1.4,10000,"(10, 10)",0.003713199149707603,0.06583333333333333
clustered,0.05,1.4,30000,"(10, 10)",0.003583937012474121,0.09416666666666666
clustered,0.05,1.4,50000,"(10, 10)",0.0036942601745832853,0.06833333333333333
clustered,0.05,1.4,100000,"(10, 10)",0.0031170738907141155,0.006666666666666667
clustered,0.05,1.4,100000,"(10, 10)",0.003413899855559886,0.09333333333333334
clustered,0.05,1.4,100000,"(20, 5)",0.003162017339335257,0.005833333333333334
clustered,0.05,1.4,100000,"(5, 20)",0.003678440105121988,0.028333333333333332
clustered,0.05,1.4,100000,"(30, 1)",0.005905641370516465,0.06583333333333333
random_gap,0.0,1.4,100000,"(10, 10)",0.4571598252038087,0.6797116374871267
random_gap,0.01,1.4,100000,"(10, 10)",0.026030171964181042,0.05458290422245108
random_gap,0.05,1.4,100000,"(10, 10)",0.021393028638066924,0.005149330587023687
random_gap,0.1,1.4,100000,"(10, 10)",0.022605836903598724,0.004119464469618949
random_gap,0.5,1.4,100000,"(10, 10)",0.019184232152326012,0.006179196704428424
random_gap,1.0,1.4,100000,"(10, 10)",0.02557939568313296,0.0607621009268795
random_gap,0.05,0.1,100000,"(10, 10)",0.015038238505277938,0.9011328527291452
random_gap,0.05,0.4,100000,"(10, 10)",0.006515729243770674,0.5118434603501545
random_gap,0.05,1.4,100000,"(10, 10)",0.02519977437113898,0.025746652935118436
random_gap,0.05,2.0,100000,"(10, 10)",0.054054852300736006,0.015447991761071062
random_gap,0.05,4.0,100000,"(10, 10)",0.12717297644210734,0.0
random_gap,0.05,1.4,1000,"(10, 10)",0.03158116305379624,0.16992790937178168
random_gap,0.05,1.4,5000,"(10, 10)",0.026684910335587352,0.05870236869207003
random_gap,0.05,1.4,10000,"(10, 10)",0.029052437559426256,0.11637487126673532
random_gap,0.05,1.4,30000,"(10, 10)",0.017112353689623456,0.0
random_gap,0.05,1.4,50000,"(10, 10)",0.017622856379947562,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.017929992773604228,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.017797094274797247,0.0
random_gap,0.05,1.4,100000,"(20, 5)",0.020334049023253985,0.03398558187435633
random_gap,0.05,1.4,100000,"(5, 20)",0.017750103540031186,0.007209062821833162
random_gap,0.05,1.4,100000,"(30, 1)",0.04307221176913632,0.05458290422245108
